"Node","Cluster","Betweenness","Closeness","PageRank"
"cells","1","0.0272940535976424","0.0114942528735632","0.00759526848297513"
"responses","1","0.37896886247972","0.0126582278481013","0.0120127931411857"
"detection","1","1.21088773172277","0.0136986301369863","0.0129653789770597"
"infections","1","0.42973009853366","0.0131578947368421","0.0118580635254181"
"plasmodium","1","137.284961567024","0.02","0.10200457488608"
"falciparum","1","50.4219828195631","0.0196078431372549","0.0676084922146978"
"parasites","1","0.862979953348929","0.0133333333333333","0.0136128424912966"
"protein","1","0.912554294760822","0.0135135135135135","0.0164050479457912"
"cell","1","0.611665713760141","0.0128205128205128","0.0117957407641737"
"development","1","0.992917366382472","0.0138888888888889","0.0114476021009684"
"infection","1","5.39788689728536","0.0166666666666667","0.0260918736767872"
"human","1","1.5374818953725","0.0142857142857143","0.0158081038002568"
"blood","1","4.85189325788554","0.0153846153846154","0.0208811150846955"
"vivax","1","1.91023468053954","0.0149253731343284","0.0209498718626601"
"gene","1","0.313928096670232","0.0128205128205128","0.0108590781710015"
"parasite","1","0.880741331249633","0.0136986301369863","0.016056058260712"
"molecular","1","0.675651398586045","0.012987012987013","0.0109084078806403"
"malaria","2","309.136402589987","0.0204081632653061","0.127467355007354"
"efficacy","2","0.956084887946869","0.012987012987013","0.0119077070191173"
"control","2","0.484524465354212","0.012987012987013","0.0110020698987975"
"analysis","2","3.00816124753402","0.0163934426229508","0.0164351783043335"
"clinical","2","0.841130932703691","0.0135135135135135","0.0126744965456316"
"transmission","2","1.63017470083241","0.0147058823529412","0.0183694931489526"
"children","2","4.45794570501224","0.0147058823529412","0.0254103713270574"
"risk","2","1.36382299592747","0.0140845070422535","0.0176687490609074"
"factors","2","0.629125670419842","0.012987012987013","0.0176271054062004"
"patients","2","0.0887712609905824","0.0114942528735632","0.00941255597121728"
"africa","2","0.62661382063643","0.012987012987013","0.0103068626978336"
"study","2","13.537700533761","0.0172413793103448","0.0345773919431845"
"area","2","0.466492930869092","0.012987012987013","0.0117975864520459"
"uganda","2","0.772081992875771","0.0133333333333333","0.0113576153823959"
"trial","2","0.272679978882854","0.0125","0.00931907328912611"
"health","2","1.30533407521427","0.012987012987013","0.0144509191967844"
"treatment","2","2.21992033242473","0.0140845070422535","0.0184247537575515"
"associated","2","3.55008850815298","0.0149253731343284","0.0210091739429102"
"prevalence","2","0.727069360972554","0.0135135135135135","0.0135256253187458"
"case","2","0.465878783498613","0.0128205128205128","0.0115188931657733"
"vector","3","1.26664163281734","0.0133333333333333","0.0165783465027586"
"mosquitoes","3","0.797370480087604","0.0131578947368421","0.0115553215701868"
"identification","3","0.808720258445843","0.0133333333333333","0.0113321612420234"
"anopheles","3","14.1405341411674","0.0151515151515152","0.0329108314685809"
"species","3","1.11181986798136","0.0136986301369863","0.0124870614510409"
"evaluation","3","1.72346631814888","0.0133333333333333","0.0120309188464078"
"gambiae","3","0.166765553970722","0.0119047619047619","0.0108483678083377"
"novel","3","0.422853000216575","0.0125","0.00898833789711924"
"antimalarial","3","1.8979176622957","0.0126582278481013","0.0127647793443712"
"drug","3","1.37827847259373","0.0135135135135135","0.0131586062870362"
"mosquito","3","0.776996590148451","0.0133333333333333","0.0114069708076063"
"resistance","3","7.87611487378582","0.0161290322580645","0.0239992131008214"
"activity","3","0.390756355581888","0.0119047619047619","0.00881579357138977"